Id,Designator,Footprint,Quantity,Designation,Supplier and ref,,,
1,"C27,C5,C11,C13,C7",C_0402_1005Metric,5,1u,CL05A105KO5NNNC,,,
2,"C14,C15,C3,C2,C1,C4",C_0603_1608Metric,6,2.2u,GRM188R71A225KE15D,,,
3,U13,SOT-23-6_Handsoldering,1,REF35125,REF35120QDBVR,,,
4,"C29,C37",C_0603_1608Metric,2,10u,GRM188R60J106ME47D,,,
5,"C39,C26,C38,C28,C36,C22,C20,C35,C21,C33,C41,C34",C_0402_1005Metric,12,100n,CL05B104KO5NNNC,,,
6,J1,PinHeader_2x03_P1.27mm_Vertical,1,Conn_02x03_Odd_Even,20021111-00006T1LF,,,
7,"R9,R7",R_0402_1005Metric,2,10k,RC0402JR-0710KL,,,
8,"U5,U4,U7",SOT-23-5,3,LP5907,LP5907MFX-3.3/NOPB,,,
9,J5,Molex_PicoBlade_53398-0871_1x08-1MP_P1.25mm_Vertical_cut,1,Conn_01x08,53398-0871,,,
10,J6,Molex_PicoBlade_53398-0671_1x06-1MP_P1.25mm_Vertical,1,Conn_01x06,53398-0671,,,
11,"J3,J2",PinHeader_1x03_P1.27mm_Vertical,2,Conn_01x03,TMS-103-02-L-S,,,
12,"R1,R8,R4,R2,R10",R_0402_1005Metric,5,0,RC0402JR-070RL,,,
13,U2,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering_cut,1,8.192MHz,ECS-2520MVLC-081.92-CN-TR,ECS-2520MVLC-081.92-BN-TR3,ECS-2520MVLC-081.92-BN-TR,SIT8924BA-22-33E-8.192000G
14,U9,ESP32-C3-WROOM-02U,1,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02U-N4,,,
15,"J29,J28,J31,J32,J33,J30",PinSocket_2x03_P1.27mm_Vertical,6,Conn_02x03_Odd_Even,20021311-00006T4LF,,,
16,"R6,R5",R_0402_1005Metric,2,4k7,RC0402JR-074K7L,,,
17,U6,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,STM32F103C8T6,GD32VF103CBT6,CH32V103C8T6,
18,U10,SOT-223-3_TabPin2,1,AMS1117-3.3,TLV1117-33IDCY,TLV1117-33IDCYG3,,
19,"C12,C6",C_0402_1005Metric,2,220n,CC0402KRX5R5BB224,,,
20,"U3,U8",LQFP-32_5x5mm_P0.5mm,2,ADS131M08IPBSR,ADS131M08IPBSR,,,
21,"C16,C17",C_0805_2012Metric,2,22u,GRM21BR60J226ME39L,,,
22,C32,C_0603_1608Metric,1,4.7u,C0603C475K9PACTU,,,
